id,run,mapped_ms,settled_ms,pss_kb,cpu_s,child_pss_kb,thumbs_n,pss_anon_kb,uss_kb,drm_kb,thumbs_by_dir,cpu_tree_s,thumbs_by_format,ranked,preview_ms,cpu_reaped_s
flea,1,3669,5346,84946,1.10,3121,43,56956,64040,277496,fail=0;large=43,6.51,jpg=0;mp4=35;png=0;txt=0;webm=8;webp=0;unknown=0,yes,-,1.26
nautilus,1,905,18881,184680,10.69,0,641,82192,176684,194468,fail=0;large=641,114.82,jpg=0;mp4=400;png=71;txt=0;webm=100;webp=70;unknown=0,yes,-,14.84
thunar,1,573,13340,41576,7.24,63233,221,17280,37492,0,fail=0;large=0;normal=221,20.72,jpg=0;mp4=177;png=0;txt=0;webm=44;webp=0;unknown=0,yes,-,20.51
pcmanfm,1,435,114506,42415,77.31,0,700,19416,31216,0,fail=0;large=0;normal=700,178.90,jpg=0;mp4=400;png=200;txt=0;webm=100;webp=0;unknown=0,yes,-,130.93
nemo,1,814,1688,45680,1.40,0,unmeasurable,26580,34260,0,fail=0;large=0,1.57,unmeasurable,unranked: nothing reached the thumbnail cache so its work was not measured,-,1.40
dolphin,1,695,14185,95080,8.42,0,670,50144,71476,0,fail=0;large=670,71.01,jpg=224;mp4=357;png=0;txt=0;webm=89;webp=0;unknown=0,yes,-,67.25
strata,1,623,2930,87752,1.08,0,42,49436,81740,122384,fail=0;large=42,7.30,jpg=0;mp4=34;png=0;txt=0;webm=8;webp=0;unknown=0,yes,-,1.34
yazi,1,298,11074,50429,0.40,0,n/a,33484,50220,0,fail=0;large=0,21.72,n/a,n/a: tui in kitty,133,21.17
mc,1,299,966,5423,0.03,0,n/a,3372,5144,0,fail=0;large=0,0.83,n/a,n/a: tui in kitty,-1,0.03
broot,1,302,540,4268,0.01,0,n/a,712,4232,0,fail=0;large=0,0.46,n/a,n/a: tui in kitty,-1,0.01
nnn,1,315,669,2535,0.03,0,n/a,1960,2440,0,fail=0;large=0,0.58,n/a,n/a: tui in kitty,130,0.03
lf,1,294,637,14399,0.14,0,n/a,11320,12172,0,fail=0;large=0,0.64,n/a,n/a: tui in kitty,-1,0.14
ranger,1,316,964,28288,0.29,0,n/a,25604,26408,0,fail=0;large=0,0.75,n/a,n/a: tui in kitty,133,0.30
xplr,1,295,641,13136,0.18,0,n/a,8500,13092,0,fail=0;large=0,0.65,n/a,n/a: tui in kitty,-1,0.18
superfile,1,316,1437,155268,0.42,0,n/a,140560,155184,0,fail=0;large=0,1.39,n/a,n/a: tui in kitty,-1,0.86
flea,2,292,1864,83770,0.90,3134,43,56032,63072,281596,fail=0;large=43,6.24,jpg=0;mp4=35;png=0;txt=0;webm=8;webp=0;unknown=0,yes,-,1.05
nautilus,2,945,18827,183983,10.86,0,641,81396,176020,194468,fail=0;large=641,115.67,jpg=0;mp4=400;png=71;txt=0;webm=100;webp=70;unknown=0,yes,-,15.08
thunar,2,551,13248,41494,7.46,60519,221,17312,37432,0,fail=0;large=0;normal=221,21.23,jpg=0;mp4=177;png=0;txt=0;webm=44;webp=0;unknown=0,yes,-,21.02
pcmanfm,2,418,113278,42535,77.41,0,700,19320,31328,0,fail=0;large=0;normal=700,178.95,jpg=0;mp4=400;png=200;txt=0;webm=100;webp=0;unknown=0,yes,-,130.98
nemo,2,837,1741,47550,1.42,0,unmeasurable,28432,36168,0,fail=0;large=0,1.58,unmeasurable,unranked: nothing reached the thumbnail cache so its work was not measured,-,1.42
dolphin,2,677,13241,91434,5.08,0,500,40412,63620,0,fail=0;large=500,65.20,jpg=50;mp4=360;png=0;txt=0;webm=90;webp=0;unknown=0,yes,-,63.60
strata,2,546,2871,75565,0.98,0,42,42648,69544,122384,fail=0;large=42,7.14,jpg=0;mp4=34;png=0;txt=0;webm=8;webp=0;unknown=0,yes,-,1.18
yazi,2,292,1550,49188,0.27,0,n/a,32428,48988,0,fail=0;large=0,1.21,n/a,n/a: tui in kitty,134,0.72
mc,2,295,974,5319,0.04,0,n/a,3376,5036,0,fail=0;large=0,0.87,n/a,n/a: tui in kitty,-1,0.04
broot,2,302,535,4181,0.01,0,n/a,712,4144,0,fail=0;large=0,0.45,n/a,n/a: tui in kitty,-1,0.01
nnn,2,300,558,2536,0.02,0,n/a,1960,2428,0,fail=0;large=0,0.63,n/a,n/a: tui in kitty,132,0.02
lf,2,337,637,17976,0.13,0,n/a,15132,15704,0,fail=0;large=0,0.62,n/a,n/a: tui in kitty,-1,0.13
ranger,2,322,978,28290,0.27,0,n/a,25608,26416,0,fail=0;large=0,0.73,n/a,n/a: tui in kitty,132,0.28
xplr,2,295,627,13362,0.17,0,n/a,8448,13308,0,fail=0;large=0,0.65,n/a,n/a: tui in kitty,-1,0.17
superfile,2,318,1289,157371,0.41,0,n/a,142592,157288,0,fail=0;large=0,1.34,n/a,n/a: tui in kitty,-1,0.84
flea,3,296,1928,83928,0.95,3134,43,56160,63292,281596,fail=0;large=43,6.39,jpg=0;mp4=35;png=0;txt=0;webm=8;webp=0;unknown=0,yes,-,1.11
nautilus,3,974,18894,184118,11.12,0,641,81836,176108,196520,fail=0;large=641,115.52,jpg=0;mp4=400;png=71;txt=0;webm=100;webp=70;unknown=0,yes,-,15.37
thunar,3,522,12900,38734,7.29,62103,221,22772,26336,0,fail=0;large=0;normal=221,20.79,jpg=0;mp4=177;png=0;txt=0;webm=44;webp=0;unknown=0,yes,-,20.58
pcmanfm,3,421,113498,42522,77.97,0,700,19484,31304,0,fail=0;large=0;normal=700,179.67,jpg=0;mp4=400;png=200;txt=0;webm=100;webp=0;unknown=0,yes,-,131.48
nemo,3,812,2357,47538,1.45,0,unmeasurable,28504,36180,0,fail=0;large=0,1.61,unmeasurable,unranked: nothing reached the thumbnail cache so its work was not measured,-,1.45
dolphin,3,711,14184,95443,4.97,0,500,19332,81864,0,fail=0;large=500,64.73,jpg=50;mp4=360;png=0;txt=0;webm=90;webp=0;unknown=0,yes,-,63.32
strata,3,570,3670,75927,0.99,0,42,42644,70032,122384,fail=0;large=42,7.15,jpg=0;mp4=34;png=0;txt=0;webm=8;webp=0;unknown=0,yes,-,1.20
yazi,3,301,1618,49159,0.28,0,n/a,32608,48960,0,fail=0;large=0,1.23,n/a,n/a: tui in kitty,133,0.73
mc,3,294,978,5430,0.04,0,n/a,3376,5164,0,fail=0;large=0,0.84,n/a,n/a: tui in kitty,-1,0.04
broot,3,302,549,4209,0.01,0,n/a,712,4172,0,fail=0;large=0,0.46,n/a,n/a: tui in kitty,-1,0.01
nnn,3,323,649,2581,0.03,0,n/a,1964,2488,0,fail=0;large=0,0.60,n/a,n/a: tui in kitty,134,0.03
lf,3,299,589,17827,0.12,0,n/a,14904,15636,0,fail=0;large=0,0.61,n/a,n/a: tui in kitty,136,0.12
ranger,3,281,969,28293,0.29,0,n/a,25604,26420,0,fail=0;large=0,0.74,n/a,n/a: tui in kitty,134,0.30
xplr,3,298,631,13402,0.18,0,n/a,8588,13356,0,fail=0;large=0,0.68,n/a,n/a: tui in kitty,-1,0.18
superfile,3,304,1980,153604,0.43,0,n/a,138592,153520,0,fail=0;large=0,1.41,n/a,n/a: tui in kitty,133,0.89
