id,run,mapped_ms,settled_ms,pss_kb,cpu_s,child_pss_kb,thumbs_n,pss_anon_kb,uss_kb,drm_kb,thumbs_by_dir,cpu_tree_s,thumbs_by_format,ranked,preview_ms,cpu_reaped_s
flea,1,321,1997,85200,1.06,3176,43,57444,64616,281724,fail=0;large=43,6.44,heic=0;jpg=0;mkv=7;mp4=29;png=0;txt=0;webm=7;webp=0;unknown=0,yes,-,1.23
nautilus,1,853,19801,185619,10.95,0,641,82904,177556,196520,fail=0;large=641,122.70,heic=13;jpg=0;mkv=100;mp4=400;png=14;txt=0;webm=100;webp=14;unknown=0,yes,-,15.11
thunar,1,536,12807,39715,7.29,61333,221,23688,27296,0,fail=0;large=0;normal=221,20.64,heic=0;jpg=0;mkv=37;mp4=148;png=0;txt=0;webm=36;webp=0;unknown=0,yes,-,20.44
pcmanfm,1,409,-1,40512,40.98,0,690,17452,29384,0,fail=0;large=0;normal=690,158.35,heic=0;jpg=0;mkv=100;mp4=400;png=90;txt=0;webm=100;webp=0;unknown=0,yes,-,102.32
nemo,1,843,3557,55725,2.32,0,60,29932,44364,0,fail=0;large=60,8.84,heic=0;jpg=45;mkv=0;mp4=0;png=0;txt=0;webm=0;webp=15;unknown=0,yes,-,5.38
dolphin,1,707,13421,91487,5.18,0,500,40540,63944,0,fail=0;large=500,66.09,heic=0;jpg=50;mkv=75;mp4=300;png=0;txt=0;webm=75;webp=0;unknown=0,yes,-,64.53
strata,1,557,2835,76274,0.98,0,42,42624,70492,122384,fail=0;large=42,6.98,heic=0;jpg=0;mkv=7;mp4=28;png=0;txt=0;webm=7;webp=0;unknown=0,yes,-,1.18
yazi,1,298,1725,53439,0.31,0,n/a,36780,53236,0,fail=0;large=0,1.64,n/a,n/a: tui in kitty,132,1.14
mc,1,296,962,5539,0.04,0,n/a,3492,5248,0,fail=0;large=0,0.87,n/a,n/a: tui in kitty,-1,0.04
broot,1,295,526,4109,0.01,0,n/a,708,4084,0,fail=0;large=0,0.47,n/a,n/a: tui in kitty,-1,0.01
nnn,1,297,672,2589,0.04,0,n/a,1980,2516,0,fail=0;large=0,0.63,n/a,n/a: tui in kitty,132,0.04
lf,1,298,626,18280,0.15,0,n/a,15348,16120,0,fail=0;large=0,0.65,n/a,n/a: tui in kitty,134,0.15
ranger,1,344,1019,29760,0.31,0,n/a,27080,27888,0,fail=0;large=0,0.80,n/a,n/a: tui in kitty,132,0.32
xplr,1,298,648,14325,0.20,0,n/a,9288,14252,0,fail=0;large=0,0.67,n/a,n/a: tui in kitty,-1,0.20
superfile,1,298,1302,157319,0.43,0,n/a,142564,157244,0,fail=0;large=0,1.38,n/a,n/a: tui in kitty,132,0.87
flea,2,289,1922,85500,0.89,3131,43,57744,64920,281724,fail=0;large=43,6.02,heic=0;jpg=0;mkv=7;mp4=29;png=0;txt=0;webm=7;webp=0;unknown=0,yes,-,1.03
nautilus,2,925,19853,184685,11.00,0,641,82148,176652,196520,fail=0;large=641,123.18,heic=13;jpg=0;mkv=100;mp4=400;png=14;txt=0;webm=100;webp=14;unknown=0,yes,-,15.19
thunar,2,522,12772,39680,7.22,60441,221,23716,27256,0,fail=0;large=0;normal=221,20.58,heic=0;jpg=0;mkv=37;mp4=148;png=0;txt=0;webm=36;webp=0;unknown=0,yes,-,20.37
pcmanfm,2,421,-1,40509,40.40,0,690,17428,29372,0,fail=0;large=0;normal=690,157.42,heic=0;jpg=0;mkv=100;mp4=400;png=90;txt=0;webm=100;webp=0;unknown=0,yes,-,101.50
nemo,2,855,3046,56301,2.39,0,60,30236,44936,0,fail=0;large=60,8.97,heic=0;jpg=45;mkv=0;mp4=0;png=0;txt=0;webm=0;webp=15;unknown=0,yes,-,5.41
dolphin,2,724,13713,97190,5.15,0,500,40440,75332,0,fail=0;large=500,66.70,heic=0;jpg=50;mkv=75;mp4=300;png=0;txt=0;webm=75;webp=0;unknown=0,yes,-,65.16
strata,2,556,2873,75611,0.97,0,42,42560,69720,122384,fail=0;large=42,7.13,heic=0;jpg=0;mkv=7;mp4=28;png=0;txt=0;webm=7;webp=0;unknown=0,yes,-,1.18
yazi,2,298,1700,51101,0.30,0,n/a,34336,50912,0,fail=0;large=0,1.59,n/a,n/a: tui in kitty,132,1.11
mc,2,279,939,5495,0.03,0,n/a,3488,5204,0,fail=0;large=0,0.85,n/a,n/a: tui in kitty,-1,0.03
broot,2,303,523,4196,0.01,0,n/a,712,4168,0,fail=0;large=0,0.44,n/a,n/a: tui in kitty,-1,0.01
nnn,2,318,538,2536,0.02,0,n/a,1980,2460,0,fail=0;large=0,0.60,n/a,n/a: tui in kitty,133,0.02
lf,2,279,582,16455,0.13,0,n/a,13432,14208,0,fail=0;large=0,0.63,n/a,n/a: tui in kitty,131,0.13
ranger,2,278,945,29796,0.31,0,n/a,27076,27916,0,fail=0;large=0,0.77,n/a,n/a: tui in kitty,135,0.32
xplr,2,296,647,14256,0.18,0,n/a,9276,14216,0,fail=0;large=0,0.67,n/a,n/a: tui in kitty,-1,0.18
superfile,2,297,1185,159119,0.42,0,n/a,144476,159044,0,fail=0;large=0,1.38,n/a,n/a: tui in kitty,-1,0.87
flea,3,296,1908,85392,0.88,3102,43,57432,64616,281596,fail=0;large=43,5.99,heic=0;jpg=0;mkv=7;mp4=29;png=0;txt=0;webm=7;webp=0;unknown=0,yes,-,1.02
nautilus,3,856,19862,184774,10.69,0,641,82220,176724,194468,fail=0;large=641,122.67,heic=13;jpg=0;mkv=100;mp4=400;png=14;txt=0;webm=100;webp=14;unknown=0,yes,-,14.91
thunar,3,538,12971,39549,7.23,61772,221,23672,27108,0,fail=0;large=0;normal=221,20.57,heic=0;jpg=0;mkv=37;mp4=148;png=0;txt=0;webm=36;webp=0;unknown=0,yes,-,20.36
