id,run,mapped_ms,settled_ms,pss_kb,cpu_s,child_pss_kb,thumbs_n,pss_anon_kb,uss_kb,drm_kb,thumbs_by_dir,cpu_tree_s,thumbs_by_format,ranked,preview_ms,cpu_reaped_s
flea,1,277,1138,72228,0.50,6561,n/a,48488,55628,148216,-,0.74,-,yes,-,0.70
nautilus,1,869,83090,341938,18.79,0,n/a,311628,333968,141564,-,18.80,-,yes,-,18.79
thunar,1,604,23189,354064,22.74,28342,n/a,336928,343304,0,-,23.01,-,yes,-,22.94
pcmanfm,1,444,36464,112463,24.95,0,n/a,95324,101252,0,-,25.01,-,yes,-,24.95
nemo,1,791,22596,470453,25.86,0,n/a,451164,459252,0,-,26.01,-,yes,-,25.86
dolphin,1,682,5196,196267,8.98,0,n/a,145180,168624,0,-,9.06,-,yes,-,8.98
strata,1,554,3182,110450,2.90,0,n/a,73760,106276,97760,-,3.11,-,yes,-,3.10
yazi,1,298,2112,120373,3.27,0,n/a,105628,120172,0,-,3.75,-,yes,-,3.27
mc,1,287,2556,43721,0.92,0,n/a,41608,43428,0,-,1.76,-,yes,-,0.92
broot,1,304,535,4048,0.01,0,n/a,708,4020,0,-,0.45,-,yes,-,0.01
nnn,1,280,2043,10893,0.81,0,n/a,10328,10824,0,-,1.37,-,yes,-,0.81
lf,1,299,2212,93991,1.03,0,n/a,91052,91772,0,-,1.52,-,yes,-,1.03
ranger,1,302,9088,639504,7.36,0,n/a,636900,637728,0,-,7.85,-,yes,-,7.36
xplr,1,305,3672,222039,2.39,0,n/a,217024,221976,0,-,2.85,-,yes,-,2.39
superfile,1,273,2231,96169,1.16,0,n/a,81644,96088,0,-,1.62,-,yes,-,1.16
flea,2,285,1116,72100,0.50,6626,n/a,48388,55524,148216,-,0.73,-,yes,-,0.70
nautilus,2,819,83881,339531,18.73,0,n/a,309144,331564,141564,-,18.75,-,yes,-,18.73
thunar,2,561,23061,355082,22.61,28374,n/a,337880,344296,0,-,22.88,-,yes,-,22.81
pcmanfm,2,449,36126,112584,25.29,0,n/a,95444,101372,0,-,25.36,-,yes,-,25.29
nemo,2,812,22791,470828,26.26,0,n/a,451520,459632,0,-,26.40,-,yes,-,26.26
dolphin,2,746,5564,205866,9.34,0,n/a,145300,174032,0,-,9.41,-,yes,-,9.34
strata,2,602,3335,110475,2.93,0,n/a,73488,106296,97760,-,3.16,-,yes,-,3.14
yazi,2,304,1979,97935,2.80,0,n/a,82868,97736,0,-,3.28,-,yes,-,2.80
mc,2,284,2493,43732,0.91,0,n/a,41608,43460,0,-,1.70,-,yes,-,0.91
broot,2,300,520,4036,0.00,0,n/a,712,4008,0,-,0.44,-,yes,-,0.00
nnn,2,298,2117,10867,0.82,0,n/a,10324,10780,0,-,1.38,-,yes,-,0.82
lf,2,305,2193,100330,1.04,0,n/a,97348,98140,0,-,1.52,-,yes,-,1.04
ranger,2,283,9018,640308,7.26,0,n/a,637668,638516,0,-,7.77,-,yes,-,7.26
xplr,2,300,3639,221618,2.38,0,n/a,216852,221568,0,-,2.85,-,yes,-,2.38
superfile,2,282,2195,94519,1.14,0,n/a,79840,94444,0,-,1.59,-,yes,-,1.14
flea,3,270,1127,72258,0.48,6544,n/a,48404,55580,148216,-,0.72,-,yes,-,0.67
nautilus,3,873,83798,341621,19.04,0,n/a,311332,333652,141564,-,19.04,-,yes,-,19.04
thunar,3,561,22927,354635,22.47,28476,n/a,337504,343884,0,-,22.75,-,yes,-,22.67
pcmanfm,3,458,35826,112533,24.59,0,n/a,95356,101304,0,-,24.65,-,yes,-,24.59
nemo,3,792,21959,471787,25.26,0,n/a,452336,460576,0,-,25.42,-,yes,-,25.26
dolphin,3,715,5258,203356,9.09,0,n/a,145248,168896,0,-,9.18,-,yes,-,9.09
strata,3,576,3231,111091,2.94,0,n/a,74528,106936,97760,-,3.15,-,yes,-,3.13
yazi,3,301,2017,117193,3.03,0,n/a,102244,117004,0,-,3.51,-,yes,-,3.03
mc,3,332,2507,44803,0.89,0,n/a,43092,44608,0,-,1.71,-,yes,-,0.89
broot,3,303,510,4156,0.01,0,n/a,712,4128,0,-,0.44,-,yes,-,0.01
nnn,3,299,2114,10891,0.82,0,n/a,10328,10804,0,-,1.39,-,yes,-,0.82
lf,3,283,2110,91684,1.02,0,n/a,88836,89376,0,-,1.50,-,yes,-,1.02
ranger,3,301,8900,640215,7.18,0,n/a,637616,638456,0,-,7.68,-,yes,-,7.18
xplr,3,301,3725,221451,2.44,0,n/a,216540,221412,0,-,2.94,-,yes,-,2.44
superfile,3,306,2250,94282,1.16,0,n/a,79600,94204,0,-,1.62,-,yes,-,1.16
